trade_date,ts_code,industry,name,close,pct_chg,open_times,up_stat,limit_times
20231127,000609.SZ,房地产开发,中迪投资,7.4,5.26,6,0/0,
20231127,002559.SZ,通用设备,亚威股份,13.67,3.8,4,5/8,
20231127,002728.SZ,中药,特一药业,21.94,6.09,2,1/2,
20231127,300790.SZ,光学光电,宇瞳光学,18.72,16.13,1,0/0,
20231127,600148.SH,汽车零部件,长春一东,19.58,-3.55,1,1/2,
20231127,600327.SH,医疗服务,大东方,5.7,-2.4,1,1/2,
20231127,600513.SH,化学制药,联环药业,13.01,-0.61,3,2/3,
20231127,600789.SH,化学制药,鲁抗医药,8.33,1.46,1,1/2,
20231127,600822.SH,贸易行业,上海物贸,11.27,3.39,1,0/0,
20231127,603015.SH,专用设备,弘讯科技,10.74,6.55,4,0/0,
20231127,603991.SH,塑料制品,至正股份,54.5,7.09,1,0/0,
20231127,605228.SH,汽车零部件,神通科技,13.4,7.63,1,0/0,
